limitname,max_value,remaining_value,eventdate
DailyBulkApiBatches,15000,11051,2021-06-17 11:13:03
DailyBulkApiBatches,15000,10456,2021-06-17 12:13:05
DailyBulkApiBatches,15000,9860,2021-06-17 13:13:26
DailyBulkApiBatches,15000,9146,2021-06-17 14:13:31
DailyBulkApiBatches,15000,8424,2021-06-17 15:14:04
DailyBulkApiBatches,15000,7706,2021-06-17 16:13:49
DailyBulkApiBatches,15000,6999,2021-06-17 17:13:04
DailyBulkApiBatches,15000,6258,2021-06-17 18:14:14
DailyBulkApiBatches,15000,5544,2021-06-17 19:13:29
DailyBulkApiBatches,15000,4830,2021-06-17 20:13:05
DailyBulkApiBatches,15000,4227,2021-06-17 21:13:22
DailyBulkApiBatches,15000,3506,2021-06-17 22:13:10
DailyBulkApiBatches,15000,2790,2021-06-17 23:12:46
DailyBulkApiBatches,15000,2075,2021-06-18 00:12:04
DailyBulkApiBatches,15000,4108,2021-06-18 02:13:15
DailyBulkApiBatches,15000,3722,2021-06-18 03:13:44
DailyBulkApiBatches,15000,4077,2021-06-18 04:14:44
DailyBulkApiBatches,15000,4445,2021-06-18 05:13:57
DailyBulkApiBatches,15000,4153,2021-06-18 06:13:34
DailyBulkApiBatches,15000,3782,2021-06-18 07:13:52
DailyBulkApiBatches,15000,3420,2021-06-18 08:14:49
DailyBulkApiBatches,15000,3641,2021-06-18 09:12:57
DailyBulkApiBatches,15000,4686,2021-06-18 10:13:33
DailyBulkApiBatches,15000,4365,2021-06-18 11:13:17
DailyBulkApiBatches,15000,4729,2021-06-18 12:12:13
DailyBulkApiBatches,15000,5067,2021-06-18 13:14:21
DailyBulkApiBatches,15000,5423,2021-06-18 14:14:23
DailyBulkApiBatches,15000,5794,2021-06-18 15:14:15
DailyBulkApiBatches,15000,6192,2021-06-18 16:12:13
DailyBulkApiBatches,15000,6527,2021-06-18 17:14:36
DailyBulkApiBatches,15000,6912,2021-06-18 18:12:17
DailyBulkApiBatches,15000,7265,2021-06-18 19:13:03
DailyBulkApiBatches,15000,6903,2021-06-18 20:14:01
DailyBulkApiBatches,15000,6546,2021-06-18 21:13:46
DailyBulkApiBatches,15000,6921,2021-06-18 22:12:54
DailyBulkApiBatches,15000,7270,2021-06-18 23:14:07
DailyBulkApiBatches,15000,7109,2021-06-19 00:15:26
DailyBulkApiBatches,15000,6756,2021-06-19 01:13:09
DailyBulkApiBatches,15000,5237,2021-06-22 04:14:55
DailyBulkApiBatches,15000,5709,2021-06-23 09:13:21
DailyBulkApiBatches,15000,7554,2021-06-25 03:13:55
DailyBulkApiBatches,15000,7433,2021-06-25 04:14:34
DailyBulkApiBatches,15000,7314,2021-06-25 05:14:11
DailyBulkApiBatches,15000,7193,2021-06-25 06:14:43
DailyBulkApiBatches,15000,7079,2021-06-25 07:13:46
DailyBulkApiBatches,15000,6974,2021-06-25 08:12:14
DailyBulkApiBatches,15000,6841,2021-06-25 09:13:41
DailyBulkApiBatches,15000,7076,2021-06-25 10:14:11
DailyBulkApiBatches,15000,7363,2021-06-25 11:13:49
DailyBulkApiBatches,15000,7364,2021-06-25 12:13:47
DailyBulkApiBatches,15000,7363,2021-06-25 13:14:00
DailyBulkApiBatches,15000,7373,2021-06-25 14:12:13
DailyBulkApiBatches,15000,7359,2021-06-25 15:13:56
DailyBulkApiBatches,15000,7359,2021-06-25 16:14:09
DailyBulkApiBatches,15000,7001,2021-06-25 17:13:36
DailyBulkApiBatches,15000,6994,2021-06-25 18:14:39
DailyBulkApiBatches,15000,7006,2021-06-25 19:13:06
DailyBulkApiBatches,15000,7006,2021-06-25 20:13:05
DailyBulkApiBatches,15000,6993,2021-06-25 21:14:33
DailyBulkApiBatches,15000,6996,2021-06-25 22:14:12
DailyBulkApiBatches,15000,6649,2021-06-25 23:12:35
DailyBulkApiBatches,15000,6628,2021-06-26 00:16:24
DailyBulkApiBatches,15000,6655,2021-06-26 01:12:00
DailyBulkApiBatches,15000,6637,2021-06-26 02:14:01
DailyBulkApiBatches,15000,6634,2021-06-26 03:14:07
DailyBulkApiBatches,15000,6639,2021-06-26 04:13:07
DailyBulkApiBatches,15000,6659,2021-06-26 05:11:19
DailyBulkApiBatches,15000,8075,2021-06-26 06:14:25
DailyBulkApiBatches,15000,7714,2021-06-26 07:15:02
DailyBulkApiBatches,15000,8412,2021-06-26 08:13:53
DailyBulkApiBatches,15000,8794,2021-06-26 09:14:39
